Join_Count,TARGET_FID,JOIN_FID,DESCRIPTIO,RT_D,ROUTE,DIRECTION,TYPE,ORIGIN,DESTINATIO,EGIS_ID,STATE,STR_DATE,END_DATE,SNOW_ROUTE,GEOMETRYSO,SE_ANNO_CA,OBJECTID,GLOBALID,SHAPE_ID,SHAPELEN,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_type_text,STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length
1,5,158,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,R,Montgomery Mall+Bay F,Silver Spring+Bay 102,1425615,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36035,{21BE4E31-8947-4BBF-9304-776150AE7723},M70:03,0,,,,,,,,,,,24,031,702700,24031702700,1400000US24031702700,7027,Census Tract 7027,G5020,S,3453513.000000000000000,49346.000000000000000,+38.9992707,-077.0552841,20012.282352640319004
1,5,501,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,R,Montgomery Mall+Bay F,Silver Spring+Bay 102,1425615,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36035,{21BE4E31-8947-4BBF-9304-776150AE7723},M70:03,0,,,,,,,,,,,24,031,702501,24031702501,1400000US24031702501,7025.01,Census Tract 7025.01,G5020,S,333228.000000000000000,0.000000000000000,+38.9908535,-077.0286300,20012.282352640319004
1,5,534,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,R,Montgomery Mall+Bay F,Silver Spring+Bay 102,1425615,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36035,{21BE4E31-8947-4BBF-9304-776150AE7723},M70:03,0,,,,,,,,,,,24,031,702603,24031702603,1400000US24031702603,7026.03,Census Tract 7026.03,G5020,S,111683.000000000000000,0.000000000000000,+38.9907396,-077.0314179,20012.282352640319004
1,5,536,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,R,Montgomery Mall+Bay F,Silver Spring+Bay 102,1425615,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36035,{21BE4E31-8947-4BBF-9304-776150AE7723},M70:03,0,,,,,,,,,,,24,031,702604,24031702604,1400000US24031702604,7026.04,Census Tract 7026.04,G5020,S,234021.000000000000000,0.000000000000000,+38.9940399,-077.0349117,20012.282352640319004
1,5,799,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,R,Montgomery Mall+Bay F,Silver Spring+Bay 102,1425615,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36035,{21BE4E31-8947-4BBF-9304-776150AE7723},M70:03,0,,,,,,,,,,,24,031,706012,24031706012,1400000US24031706012,7060.12,Census Tract 7060.12,G5020,S,2082169.000000000000000,40250.000000000000000,+39.0301126,-077.1523847,20012.282352640319004
1,5,804,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,R,Montgomery Mall+Bay F,Silver Spring+Bay 102,1425615,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36035,{21BE4E31-8947-4BBF-9304-776150AE7723},M70:03,0,,,,,,,,,,,24,031,704806,24031704806,1400000US24031704806,7048.06,Census Tract 7048.06,G5020,S,407573.000000000000000,0.000000000000000,+38.9906261,-077.0980578,20012.282352640319004
1,5,819,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,R,Montgomery Mall+Bay F,Silver Spring+Bay 102,1425615,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36035,{21BE4E31-8947-4BBF-9304-776150AE7723},M70:03,0,,,,,,,,,,,24,031,704805,24031704805,1400000US24031704805,7048.05,Census Tract 7048.05,G5020,S,309190.000000000000000,0.000000000000000,+38.9865015,-077.0933803,20012.282352640319004
1,5,941,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,R,Montgomery Mall+Bay F,Silver Spring+Bay 102,1425615,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36035,{21BE4E31-8947-4BBF-9304-776150AE7723},M70:03,0,,,,,,,,,,,24,031,704804,24031704804,1400000US24031704804,7048.04,Census Tract 7048.04,G5020,S,344517.000000000000000,0.000000000000000,+38.9834063,-077.0935260,20012.282352640319004
1,5,1047,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,R,Montgomery Mall+Bay F,Silver Spring+Bay 102,1425615,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36035,{21BE4E31-8947-4BBF-9304-776150AE7723},M70:03,0,,,,,,,,,,,24,031,704404,24031704404,1400000US24031704404,7044.04,Census Tract 7044.04,G5020,S,2658633.000000000000000,1576.000000000000000,+39.0120658,-077.0997918,20012.282352640319004
1,5,1430,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,R,Montgomery Mall+Bay F,Silver Spring+Bay 102,1425615,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36035,{21BE4E31-8947-4BBF-9304-776150AE7723},M70:03,0,,,,,,,,,,,24,031,701205,24031701205,1400000US24031701205,7012.05,Census Tract 7012.05,G5020,S,6829971.000000000000000,16126.000000000000000,+39.0418495,-077.1354132,20012.282352640319004
1,5,1435,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,R,Montgomery Mall+Bay F,Silver Spring+Bay 102,1425615,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36035,{21BE4E31-8947-4BBF-9304-776150AE7723},M70:03,0,,,,,,,,,,,24,031,704501,24031704501,1400000US24031704501,7045.01,Census Tract 7045.01,G5020,S,2216362.000000000000000,404.000000000000000,+39.0177600,-077.1345988,20012.282352640319004
1,5,1436,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,R,Montgomery Mall+Bay F,Silver Spring+Bay 102,1425615,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36035,{21BE4E31-8947-4BBF-9304-776150AE7723},M70:03,0,,,,,,,,,,,24,031,704503,24031704503,1400000US24031704503,7045.03,Census Tract 7045.03,G5020,S,1684087.000000000000000,0.000000000000000,+39.0065800,-077.1190762,20012.282352640319004
1,5,1448,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,R,Montgomery Mall+Bay F,Silver Spring+Bay 102,1425615,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36035,{21BE4E31-8947-4BBF-9304-776150AE7723},M70:03,0,,,,,,,,,,,24,031,705000,24031705000,1400000US24031705000,7050,Census Tract 7050,G5020,S,4558192.000000000000000,11079.000000000000000,+38.9984654,-077.0906078,20012.282352640319004
1,5,1449,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,R,Montgomery Mall+Bay F,Silver Spring+Bay 102,1425615,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36035,{21BE4E31-8947-4BBF-9304-776150AE7723},M70:03,0,,,,,,,,,,,24,031,705100,24031705100,1400000US24031705100,7051,Census Tract 7051,G5020,S,3416279.000000000000000,6819.000000000000000,+38.9954347,-077.0730231,20012.282352640319004
1,5,1450,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,R,Montgomery Mall+Bay F,Silver Spring+Bay 102,1425615,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36035,{21BE4E31-8947-4BBF-9304-776150AE7723},M70:03,0,,,,,,,,,,,24,031,705200,24031705200,1400000US24031705200,7052,Census Tract 7052,G5020,S,1817807.000000000000000,1853.000000000000000,+38.9837902,-077.0653090,20012.282352640319004
1,5,1452,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,R,Montgomery Mall+Bay F,Silver Spring+Bay 102,1425615,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36035,{21BE4E31-8947-4BBF-9304-776150AE7723},M70:03,0,,,,,,,,,,,24,031,705400,24031705400,1400000US24031705400,7054,Census Tract 7054,G5020,S,1965939.000000000000000,0.000000000000000,+38.9786948,-077.0836487,20012.282352640319004
1,6,157,[M70]SILVER SPG - MONTGOMERY MALL,M70_W,M70,W,R,Silver Spring+Bay 102,Montgomery Mall+Bay F,1425616,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36036,{E76C9D99-6B01-4938-8078-2E9C4DA128FC},M70:51,0,,,,,,,,,,,24,031,702602,24031702602,1400000US24031702602,7026.02,Census Tract 7026.02,G5020,S,484670.000000000000000,0.000000000000000,+38.9936755,-077.0480743,20092.880930801966315
1,6,158,[M70]SILVER SPG - MONTGOMERY MALL,M70_W,M70,W,R,Silver Spring+Bay 102,Montgomery Mall+Bay F,1425616,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36036,{E76C9D99-6B01-4938-8078-2E9C4DA128FC},M70:51,0,,,,,,,,,,,24,031,702700,24031702700,1400000US24031702700,7027,Census Tract 7027,G5020,S,3453513.000000000000000,49346.000000000000000,+38.9992707,-077.0552841,20092.880930801966315
1,6,501,[M70]SILVER SPG - MONTGOMERY MALL,M70_W,M70,W,R,Silver Spring+Bay 102,Montgomery Mall+Bay F,1425616,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36036,{E76C9D99-6B01-4938-8078-2E9C4DA128FC},M70:51,0,,,,,,,,,,,24,031,702501,24031702501,1400000US24031702501,7025.01,Census Tract 7025.01,G5020,S,333228.000000000000000,0.000000000000000,+38.9908535,-077.0286300,20092.880930801966315
1,6,516,[M70]SILVER SPG - MONTGOMERY MALL,M70_W,M70,W,R,Silver Spring+Bay 102,Montgomery Mall+Bay F,1425616,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36036,{E76C9D99-6B01-4938-8078-2E9C4DA128FC},M70:51,0,,,,,,,,,,,24,031,702503,24031702503,1400000US24031702503,7025.03,Census Tract 7025.03,G5020,S,408458.000000000000000,0.000000000000000,+38.9971020,-077.0281693,20092.880930801966315
1,6,536,[M70]SILVER SPG - MONTGOMERY MALL,M70_W,M70,W,R,Silver Spring+Bay 102,Montgomery Mall+Bay F,1425616,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36036,{E76C9D99-6B01-4938-8078-2E9C4DA128FC},M70:51,0,,,,,,,,,,,24,031,702604,24031702604,1400000US24031702604,7026.04,Census Tract 7026.04,G5020,S,234021.000000000000000,0.000000000000000,+38.9940399,-077.0349117,20092.880930801966315
1,6,799,[M70]SILVER SPG - MONTGOMERY MALL,M70_W,M70,W,R,Silver Spring+Bay 102,Montgomery Mall+Bay F,1425616,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36036,{E76C9D99-6B01-4938-8078-2E9C4DA128FC},M70:51,0,,,,,,,,,,,24,031,706012,24031706012,1400000US24031706012,7060.12,Census Tract 7060.12,G5020,S,2082169.000000000000000,40250.000000000000000,+39.0301126,-077.1523847,20092.880930801966315
1,6,804,[M70]SILVER SPG - MONTGOMERY MALL,M70_W,M70,W,R,Silver Spring+Bay 102,Montgomery Mall+Bay F,1425616,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36036,{E76C9D99-6B01-4938-8078-2E9C4DA128FC},M70:51,0,,,,,,,,,,,24,031,704806,24031704806,1400000US24031704806,7048.06,Census Tract 7048.06,G5020,S,407573.000000000000000,0.000000000000000,+38.9906261,-077.0980578,20092.880930801966315
1,6,819,[M70]SILVER SPG - MONTGOMERY MALL,M70_W,M70,W,R,Silver Spring+Bay 102,Montgomery Mall+Bay F,1425616,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36036,{E76C9D99-6B01-4938-8078-2E9C4DA128FC},M70:51,0,,,,,,,,,,,24,031,704805,24031704805,1400000US24031704805,7048.05,Census Tract 7048.05,G5020,S,309190.000000000000000,0.000000000000000,+38.9865015,-077.0933803,20092.880930801966315
1,6,941,[M70]SILVER SPG - MONTGOMERY MALL,M70_W,M70,W,R,Silver Spring+Bay 102,Montgomery Mall+Bay F,1425616,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36036,{E76C9D99-6B01-4938-8078-2E9C4DA128FC},M70:51,0,,,,,,,,,,,24,031,704804,24031704804,1400000US24031704804,7048.04,Census Tract 7048.04,G5020,S,344517.000000000000000,0.000000000000000,+38.9834063,-077.0935260,20092.880930801966315
1,6,1047,[M70]SILVER SPG - MONTGOMERY MALL,M70_W,M70,W,R,Silver Spring+Bay 102,Montgomery Mall+Bay F,1425616,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36036,{E76C9D99-6B01-4938-8078-2E9C4DA128FC},M70:51,0,,,,,,,,,,,24,031,704404,24031704404,1400000US24031704404,7044.04,Census Tract 7044.04,G5020,S,2658633.000000000000000,1576.000000000000000,+39.0120658,-077.0997918,20092.880930801966315
1,6,1430,[M70]SILVER SPG - MONTGOMERY MALL,M70_W,M70,W,R,Silver Spring+Bay 102,Montgomery Mall+Bay F,1425616,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36036,{E76C9D99-6B01-4938-8078-2E9C4DA128FC},M70:51,0,,,,,,,,,,,24,031,701205,24031701205,1400000US24031701205,7012.05,Census Tract 7012.05,G5020,S,6829971.000000000000000,16126.000000000000000,+39.0418495,-077.1354132,20092.880930801966315
1,6,1434,[M70]SILVER SPG - MONTGOMERY MALL,M70_W,M70,W,R,Silver Spring+Bay 102,Montgomery Mall+Bay F,1425616,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36036,{E76C9D99-6B01-4938-8078-2E9C4DA128FC},M70:51,0,,,,,,,,,,,24,031,704401,24031704401,1400000US24031704401,7044.01,Census Tract 7044.01,G5020,S,2263541.000000000000000,1986.000000000000000,+39.0218818,-077.1147298,20092.880930801966315
1,6,1435,[M70]SILVER SPG - MONTGOMERY MALL,M70_W,M70,W,R,Silver Spring+Bay 102,Montgomery Mall+Bay F,1425616,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36036,{E76C9D99-6B01-4938-8078-2E9C4DA128FC},M70:51,0,,,,,,,,,,,24,031,704501,24031704501,1400000US24031704501,7045.01,Census Tract 7045.01,G5020,S,2216362.000000000000000,404.000000000000000,+39.0177600,-077.1345988,20092.880930801966315
1,6,1436,[M70]SILVER SPG - MONTGOMERY MALL,M70_W,M70,W,R,Silver Spring+Bay 102,Montgomery Mall+Bay F,1425616,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36036,{E76C9D99-6B01-4938-8078-2E9C4DA128FC},M70:51,0,,,,,,,,,,,24,031,704503,24031704503,1400000US24031704503,7045.03,Census Tract 7045.03,G5020,S,1684087.000000000000000,0.000000000000000,+39.0065800,-077.1190762,20092.880930801966315
1,6,1448,[M70]SILVER SPG - MONTGOMERY MALL,M70_W,M70,W,R,Silver Spring+Bay 102,Montgomery Mall+Bay F,1425616,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36036,{E76C9D99-6B01-4938-8078-2E9C4DA128FC},M70:51,0,,,,,,,,,,,24,031,705000,24031705000,1400000US24031705000,7050,Census Tract 7050,G5020,S,4558192.000000000000000,11079.000000000000000,+38.9984654,-077.0906078,20092.880930801966315
