Join_Count,TARGET_FID,JOIN_FID,OBJECTID,dir_name,RouteNum,Status,STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Field,SquareMile,Shape_Length
1,3,107,4,  outbou,Georgia Ave BRT,BRT Network,24,031,703201,24031703201,1400000US24031703201,7032.01,Census Tract 7032.01,G5020,S,4257516.000000000000000,21259.000000000000000,+39.0808260,-077.0925280,0,1.652039926600000,50498.744040540019341
1,3,115,4,  outbou,Georgia Ave BRT,BRT Network,24,031,703702,24031703702,1400000US24031703702,7037.02,Census Tract 7037.02,G5020,S,1242456.000000000000000,0.000000000000000,+39.0486516,-077.0563037,0,0.479713342524000,50498.744040540019341
1,3,193,4,  outbou,Georgia Ave BRT,BRT Network,24,031,703302,24031703302,1400000US24031703302,7033.02,Census Tract 7033.02,G5020,S,1658961.000000000000000,16924.000000000000000,+39.0736794,-077.0819211,0,0.647061796441000,50498.744040540019341
1,3,195,4,  outbou,Georgia Ave BRT,BRT Network,24,031,703402,24031703402,1400000US24031703402,7034.02,Census Tract 7034.02,G5020,S,1265669.000000000000000,0.000000000000000,+39.0695576,-077.0690635,0,0.488676041013000,50498.744040540019341
1,3,196,4,  outbou,Georgia Ave BRT,BRT Network,24,031,703403,24031703403,1400000US24031703403,7034.03,Census Tract 7034.03,G5020,S,1214585.000000000000000,0.000000000000000,+39.0616540,-077.0623465,0,0.468952174931000,50498.744040540019341
1,3,559,4,  outbou,Georgia Ave BRT,BRT Network,24,031,703800,24031703800,1400000US24031703800,7038,Census Tract 7038,G5020,S,1215086.000000000000000,139.000000000000000,+39.0360600,-077.0547130,0,0.469197783959000,50498.744040540019341
1,3,715,4,  outbou,Georgia Ave BRT,BRT Network,24,031,703202,24031703202,1400000US24031703202,7032.02,Census Tract 7032.02,G5020,S,4113609.000000000000000,14702.000000000000000,+39.0951706,-077.0938453,0,1.593944320340000,50498.744040540019341
1,3,1157,4,  outbou,Georgia Ave BRT,BRT Network,24,031,701315,24031701315,1400000US24031701315,7013.15,Census Tract 7013.15,G5020,S,2627298.000000000000000,13587.000000000000000,+39.1585226,-077.0527544,0,1.019647504990000,50498.744040540019341
1,3,1159,4,  outbou,Georgia Ave BRT,BRT Network,24,031,701314,24031701314,1400000US24031701314,7013.14,Census Tract 7013.14,G5020,S,1411535.000000000000000,9735.000000000000000,+39.1471170,-077.0606903,0,0.548753732069000,50498.744040540019341
1,3,1440,4,  outbou,Georgia Ave BRT,BRT Network,24,031,701304,24031701304,1400000US24031701304,7013.04,Census Tract 7013.04,G5020,S,7338319.000000000000000,13790.000000000000000,+39.1690240,-077.0758148,0,2.838653224530000,50498.744040540019341
1,3,1441,4,  outbou,Georgia Ave BRT,BRT Network,24,031,701312,24031701312,1400000US24031701312,7013.12,Census Tract 7013.12,G5020,S,4054064.000000000000000,0.000000000000000,+39.1527986,-077.0801289,0,1.565275268100000,50498.744040540019341
1,3,1445,4,  outbou,Georgia Ave BRT,BRT Network,24,031,701313,24031701313,1400000US24031701313,7013.13,Census Tract 7013.13,G5020,S,2637570.000000000000000,1882.000000000000000,+39.1351468,-077.0777344,0,1.019093528960000,50498.744040540019341
1,4,89,5,  Outbou,NH Ave BRT,Planning,24,031,701507,24031701507,1400000US24031701507,7015.07,Census Tract 7015.07,G5020,S,5548532.000000000000000,4167.000000000000000,+39.0833905,-077.0135950,0,2.143901319310000,53719.688037693456863
1,4,155,5,  Outbou,NH Ave BRT,Planning,24,031,701415,24031701415,1400000US24031701415,7014.15,Census Tract 7014.15,G5020,S,7115743.000000000000000,15071.000000000000000,+39.0843083,-076.9894825,0,2.753211281470000,53719.688037693456863
1,4,837,5,  Outbou,NH Ave BRT,Planning,24,031,701509,24031701509,1400000US24031701509,7015.09,Census Tract 7015.09,G5020,S,4085037.000000000000000,0.000000000000000,+39.0331015,-076.9767518,0,1.577236080800000,53719.688037693456863
1,4,940,5,  Outbou,NH Ave BRT,Planning,24,031,701601,24031701601,1400000US24031701601,7016.01,Census Tract 7016.01,G5020,S,301675.000000000000000,0.000000000000000,+39.0147267,-076.9763685,0,0.116477171577000,53719.688037693456863
1,4,1456,5,  Outbou,NH Ave BRT,Planning,24,031,701503,24031701503,1400000US24031701503,7015.03,Census Tract 7015.03,G5020,S,4487400.000000000000000,15457.000000000000000,+39.0601655,-076.9902806,0,1.738555019430000,53719.688037693456863
1,4,1469,5,  Outbou,NH Ave BRT,Planning,24,031,701703,24031701703,1400000US24031701703,7017.03,Census Tract 7017.03,G5020,S,1102887.000000000000000,0.000000000000000,+38.9844888,-076.9911737,0,0.425825049934000,53719.688037693456863
1,4,1470,5,  Outbou,NH Ave BRT,Planning,24,031,701704,24031701704,1400000US24031701704,7017.04,Census Tract 7017.04,G5020,S,1287357.000000000000000,7973.000000000000000,+38.9758298,-076.9981538,0,0.500129265615000,53719.688037693456863
1,5,108,6,  Inboun,NH Ave BRT,Planning,24,031,701506,24031701506,1400000US24031701506,7015.06,Census Tract 7015.06,G5020,S,6061219.000000000000000,5209.000000000000000,+39.0548604,-077.0050149,0,2.342249787300000,51159.517821722452936
1,5,155,6,  Inboun,NH Ave BRT,Planning,24,031,701415,24031701415,1400000US24031701415,7014.15,Census Tract 7014.15,G5020,S,7115743.000000000000000,15071.000000000000000,+39.0843083,-076.9894825,0,2.753211281470000,51159.517821722452936
1,5,837,6,  Inboun,NH Ave BRT,Planning,24,031,701509,24031701509,1400000US24031701509,7015.09,Census Tract 7015.09,G5020,S,4085037.000000000000000,0.000000000000000,+39.0331015,-076.9767518,0,1.577236080800000,51159.517821722452936
1,5,940,6,  Inboun,NH Ave BRT,Planning,24,031,701601,24031701601,1400000US24031701601,7016.01,Census Tract 7016.01,G5020,S,301675.000000000000000,0.000000000000000,+39.0147267,-076.9763685,0,0.116477171577000,51159.517821722452936
1,5,1456,6,  Inboun,NH Ave BRT,Planning,24,031,701503,24031701503,1400000US24031701503,7015.03,Census Tract 7015.03,G5020,S,4487400.000000000000000,15457.000000000000000,+39.0601655,-076.9902806,0,1.738555019430000,51159.517821722452936
1,5,1457,6,  Inboun,NH Ave BRT,Planning,24,031,701505,24031701505,1400000US24031701505,7015.05,Census Tract 7015.05,G5020,S,3340981.000000000000000,1699.000000000000000,+39.0300467,-076.9933235,0,1.290612301640000,51159.517821722452936
1,5,1469,6,  Inboun,NH Ave BRT,Planning,24,031,701703,24031701703,1400000US24031701703,7017.03,Census Tract 7017.03,G5020,S,1102887.000000000000000,0.000000000000000,+38.9844888,-076.9911737,0,0.425825049934000,51159.517821722452936
1,5,1470,6,  Inboun,NH Ave BRT,Planning,24,031,701704,24031701704,1400000US24031701704,7017.04,Census Tract 7017.04,G5020,S,1287357.000000000000000,7973.000000000000000,+38.9758298,-076.9981538,0,0.500129265615000,51159.517821722452936
1,6,108,7,  inboun,US29 BRT,In Service,24,031,701506,24031701506,1400000US24031701506,7015.06,Census Tract 7015.06,G5020,S,6061219.000000000000000,5209.000000000000000,+39.0548604,-077.0050149,0,2.342249787300000,55277.632406364653434
1,6,109,7,  inboun,US29 BRT,In Service,24,031,701414,24031701414,1400000US24031701414,7014.14,Census Tract 7014.14,G5020,S,5750561.000000000000000,19555.000000000000000,+39.0726448,-076.9660918,0,2.227847219390000,55277.632406364653434
1,6,139,7,  inboun,US29 BRT,In Service,24,031,702200,24031702200,1400000US24031702200,7022,Census Tract 7022,G5020,S,1653437.000000000000000,0.000000000000000,+39.0093138,-077.0065074,0,0.638393024128000,55277.632406364653434
1,6,141,7,  inboun,US29 BRT,In Service,24,031,702302,24031702302,1400000US24031702302,7023.02,Census Tract 7023.02,G5020,S,1546299.000000000000000,3511.000000000000000,+39.0094941,-077.0189819,0,0.598382975146000,55277.632406364653434
1,6,160,7,  inboun,US29 BRT,In Service,24,031,702900,24031702900,1400000US24031702900,7029,Census Tract 7029,G5020,S,2565054.000000000000000,0.000000000000000,+39.0056401,-077.0277748,0,0.990371702527000,55277.632406364653434
1,6,161,7,  inboun,US29 BRT,In Service,24,031,703000,24031703000,1400000US24031703000,7030,Census Tract 7030,G5020,S,1087773.000000000000000,0.000000000000000,+39.0183846,-077.0213915,0,0.419991078178000,55277.632406364653434
1,6,164,7,  inboun,US29 BRT,In Service,24,031,703100,24031703100,1400000US24031703100,7031,Census Tract 7031,G5020,S,1811567.000000000000000,0.000000000000000,+39.0264084,-077.0220358,0,0.699446462060000,55277.632406364653434
1,6,168,7,  inboun,US29 BRT,In Service,24,031,703210,24031703210,1400000US24031703210,7032.10,Census Tract 7032.10,G5020,S,1539553.000000000000000,17284.000000000000000,+39.0325523,-077.0141838,0,0.601091687607000,55277.632406364653434
1,6,501,7,  inboun,US29 BRT,In Service,24,031,702501,24031702501,1400000US24031702501,7025.01,Census Tract 7025.01,G5020,S,333228.000000000000000,0.000000000000000,+38.9908535,-077.0286300,0,0.128659467514000,55277.632406364653434
1,6,516,7,  inboun,US29 BRT,In Service,24,031,702503,24031702503,1400000US24031702503,7025.03,Census Tract 7025.03,G5020,S,408458.000000000000000,0.000000000000000,+38.9971020,-077.0281693,0,0.157705967941000,55277.632406364653434
1,6,801,7,  inboun,US29 BRT,In Service,24,031,701508,24031701508,1400000US24031701508,7015.08,Census Tract 7015.08,G5020,S,915142.000000000000000,389.000000000000000,+39.0453954,-076.9770714,0,0.353486892387000,55277.632406364653434
1,6,802,7,  inboun,US29 BRT,In Service,24,031,701423,24031701423,1400000US24031701423,7014.23,Census Tract 7014.23,G5020,S,1044573.000000000000000,21240.000000000000000,+39.0864582,-076.9382912,0,0.411510645549000,55277.632406364653434
1,6,820,7,  inboun,US29 BRT,In Service,24,031,701422,24031701422,1400000US24031701422,7014.22,Census Tract 7014.22,G5020,S,323524.000000000000000,0.000000000000000,+39.0829685,-076.9437971,0,0.124912360252000,55277.632406364653434
1,6,837,7,  inboun,US29 BRT,In Service,24,031,701509,24031701509,1400000US24031701509,7015.09,Census Tract 7015.09,G5020,S,4085037.000000000000000,0.000000000000000,+39.0331015,-076.9767518,0,1.577236080800000,55277.632406364653434
1,6,1446,7,  inboun,US29 BRT,In Service,24,031,701409,24031701409,1400000US24031701409,7014.09,Census Tract 7014.09,G5020,S,6668709.000000000000000,8219.000000000000000,+39.1003467,-076.9522476,0,2.577966856200000,55277.632406364653434
1,6,1455,7,  inboun,US29 BRT,In Service,24,031,701417,24031701417,1400000US24031701417,7014.17,Census Tract 7014.17,G5020,S,2149857.000000000000000,501.000000000000000,+39.0769598,-076.9381795,0,0.830253064357000,55277.632406364653434
1,6,1456,7,  inboun,US29 BRT,In Service,24,031,701503,24031701503,1400000US24031701503,7015.03,Census Tract 7015.03,G5020,S,4487400.000000000000000,15457.000000000000000,+39.0601655,-076.9902806,0,1.738555019430000,55277.632406364653434
1,6,1457,7,  inboun,US29 BRT,In Service,24,031,701505,24031701505,1400000US24031701505,7015.05,Census Tract 7015.05,G5020,S,3340981.000000000000000,1699.000000000000000,+39.0300467,-076.9933235,0,1.290612301640000,55277.632406364653434
1,7,108,8,  outbou,US29 BRT,In Service,24,031,701506,24031701506,1400000US24031701506,7015.06,Census Tract 7015.06,G5020,S,6061219.000000000000000,5209.000000000000000,+39.0548604,-077.0050149,0,2.342249787300000,53815.324748627703229
1,7,109,8,  outbou,US29 BRT,In Service,24,031,701414,24031701414,1400000US24031701414,7014.14,Census Tract 7014.14,G5020,S,5750561.000000000000000,19555.000000000000000,+39.0726448,-076.9660918,0,2.227847219390000,53815.324748627703229
1,7,139,8,  outbou,US29 BRT,In Service,24,031,702200,24031702200,1400000US24031702200,7022,Census Tract 7022,G5020,S,1653437.000000000000000,0.000000000000000,+39.0093138,-077.0065074,0,0.638393024128000,53815.324748627703229
1,7,141,8,  outbou,US29 BRT,In Service,24,031,702302,24031702302,1400000US24031702302,7023.02,Census Tract 7023.02,G5020,S,1546299.000000000000000,3511.000000000000000,+39.0094941,-077.0189819,0,0.598382975146000,53815.324748627703229
1,7,160,8,  outbou,US29 BRT,In Service,24,031,702900,24031702900,1400000US24031702900,7029,Census Tract 7029,G5020,S,2565054.000000000000000,0.000000000000000,+39.0056401,-077.0277748,0,0.990371702527000,53815.324748627703229
1,7,161,8,  outbou,US29 BRT,In Service,24,031,703000,24031703000,1400000US24031703000,7030,Census Tract 7030,G5020,S,1087773.000000000000000,0.000000000000000,+39.0183846,-077.0213915,0,0.419991078178000,53815.324748627703229
1,7,164,8,  outbou,US29 BRT,In Service,24,031,703100,24031703100,1400000US24031703100,7031,Census Tract 7031,G5020,S,1811567.000000000000000,0.000000000000000,+39.0264084,-077.0220358,0,0.699446462060000,53815.324748627703229
1,7,168,8,  outbou,US29 BRT,In Service,24,031,703210,24031703210,1400000US24031703210,7032.10,Census Tract 7032.10,G5020,S,1539553.000000000000000,17284.000000000000000,+39.0325523,-077.0141838,0,0.601091687607000,53815.324748627703229
