Join_Count,TARGET_FID,JOIN_FID,ID,STATION_NA,MODE_,STATUS,STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
1,64,515,,MD 355 and Shawnee Lane,Bus Rapid Transit,Planned,24,031,700316,24031700316,1400000US24031700316,7003.16,Census Tract 7003.16,G5020,S,4538368.000000000000000,11354.000000000000000,+39.2214431,-077.2720944
1,65,513,,MD 355 and Redgrave Place,Bus Rapid Transit,Planned,24,031,700318,24031700318,1400000US24031700318,7003.18,Census Tract 7003.18,G5020,S,11566193.000000000000000,25297.000000000000000,+39.2650337,-077.2631573
1,66,527,,MD 97 and East-West Highway,Bus Rapid Transit,Planned,24,031,702502,24031702502,1400000US24031702502,7025.02,Census Tract 7025.02,G5020,S,383501.000000000000000,0.000000000000000,+38.9879974,-077.0247984
1,67,501,,MD 97 and Eastern Avenue/Burlington Avenue/Montgomery College - Silver Spring/Takoma Park Campus,Bus Rapid Transit,Planned,24,031,702501,24031702501,1400000US24031702501,7025.01,Census Tract 7025.01,G5020,S,333228.000000000000000,0.000000000000000,+38.9908535,-077.0286300
1,68,141,,US 29 and Franklin Avenue,Bus Rapid Transit,,24,031,702302,24031702302,1400000US24031702302,7023.02,Census Tract 7023.02,G5020,S,1546299.000000000000000,3511.000000000000000,+39.0094941,-077.0189819
1,69,562,,MD 97 and Dennis Avenue,Bus Rapid Transit,Planned,24,031,704000,24031704000,1400000US24031704000,7040,Census Tract 7040,G5020,S,2264881.000000000000000,181.000000000000000,+39.0216780,-077.0544179
1,70,125,,Manekin,Bus Rapid Transit,Planned,24,031,700308,24031700308,1400000US24031700308,7003.08,Census Tract 7003.08,G5020,S,2466071.000000000000000,344.000000000000000,+39.1979284,-077.2779343
1,71,515,,COMSAT,Bus Rapid Transit,Planned,24,031,700316,24031700316,1400000US24031700316,7003.16,Census Tract 7003.16,G5020,S,4538368.000000000000000,11354.000000000000000,+39.2214431,-077.2720944
1,73,559,,MD 586 and MD 193,Bus Rapid Transit,Planned,24,031,703800,24031703800,1400000US24031703800,7038,Census Tract 7038,G5020,S,1215086.000000000000000,139.000000000000000,+39.0360600,-077.0547130
1,74,85,,MD 97 and Norbeck Road Park-and-Ride,Bus Rapid Transit,Planned,24,031,701308,24031701308,1400000US24031701308,7013.08,Census Tract 7013.08,G5020,S,13729244.000000000000000,44583.000000000000000,+39.1321116,-077.0607673
1,75,511,,Clarksburg Town Center,Bus Rapid Transit,Planned,24,031,700317,24031700317,1400000US24031700317,7003.17,Census Tract 7003.17,G5020,S,46790781.000000000000000,2088578.000000000000000,+39.2378679,-077.3037387
1,76,503,,DANAC,Bus Rapid Transit,Planned,24,031,700838,24031700838,1400000US24031700838,7008.38,Census Tract 7008.38,G5020,S,2472394.000000000000000,35116.000000000000000,+39.1034094,-077.2024124
1,77,1455,,Briggs Chaney Park and Ride,Bus Rapid Transit,Existing,24,031,701417,24031701417,1400000US24031701417,7014.17,Census Tract 7014.17,G5020,S,2149857.000000000000000,501.000000000000000,+39.0769598,-076.9381795
1,81,194,,MD 586 and Randolph Road,Bus Rapid Transit,Planned,24,031,703401,24031703401,1400000US24031703401,7034.01,Census Tract 7034.01,G5020,S,1780785.000000000000000,0.000000000000000,+39.0616110,-077.0797750
1,82,507,,MD 355 and Watkins Mill Road,Bus Rapid Transit,Planned,24,031,700733,24031700733,1400000US24031700733,7007.33,Census Tract 7007.33,G5020,S,2630254.000000000000000,26251.000000000000000,+39.1602123,-077.2187548
1,83,516,,US 29 and Fenton Street,Bus Rapid Transit,Existing,24,031,702503,24031702503,1400000US24031702503,7025.03,Census Tract 7025.03,G5020,S,408458.000000000000000,0.000000000000000,+38.9971020,-077.0281693
1,84,164,,MD 193 and US 29,Bus Rapid Transit,Existing,24,031,703100,24031703100,1400000US24031703100,7031,Census Tract 7031,G5020,S,1811567.000000000000000,0.000000000000000,+39.0264084,-077.0220358
1,85,529,,The Shops at Seneca Meadows,Bus Rapid Transit,Planned,24,031,700313,24031700313,1400000US24031700313,7003.13,Census Tract 7003.13,G5020,S,2797073.000000000000000,1070.000000000000000,+39.1946701,-077.2570537
1,86,155,,Randolph Road and Fairland Road,Bus Rapid Transit,Planned,24,031,701415,24031701415,1400000US24031701415,7014.15,Census Tract 7014.15,G5020,S,7115743.000000000000000,15071.000000000000000,+39.0843083,-076.9894825
1,87,166,,Randolph Road and Glenallan Ave,Bus Rapid Transit,Planned,24,031,703207,24031703207,1400000US24031703207,7032.07,Census Tract 7032.07,G5020,S,3991091.000000000000000,28491.000000000000000,+39.0540685,-077.0334936
1,88,1430,,MD 187 and Edson Lane/Poindexter Lane,Bus Rapid Transit,Planned,24,031,701205,24031701205,1400000US24031701205,7012.05,Census Tract 7012.05,G5020,S,6829971.000000000000000,16126.000000000000000,+39.0418495,-077.1354132
1,89,1430,,MD 187 and Tuckerman Lane,Bus Rapid Transit,Planned,24,031,701205,24031701205,1400000US24031701205,7012.05,Census Tract 7012.05,G5020,S,6829971.000000000000000,16126.000000000000000,+39.0418495,-077.1354132
1,90,1456,,MD 650 and Jackson Road,Bus Rapid Transit,Planned,24,031,701503,24031701503,1400000US24031701503,7015.03,Census Tract 7015.03,G5020,S,4487400.000000000000000,15457.000000000000000,+39.0601655,-076.9902806
1,91,869,,MD 355 and Hubbard Drive,Bus Rapid Transit,Planned,24,031,701218,24031701218,1400000US24031701218,7012.18,Census Tract 7012.18,G5020,S,725923.000000000000000,0.000000000000000,+39.0556800,-077.1197203
1,92,804,,MD 355 and Cordell Avenue,Bus Rapid Transit,Planned,24,031,704806,24031704806,1400000US24031704806,7048.06,Census Tract 7048.06,G5020,S,407573.000000000000000,0.000000000000000,+38.9906261,-077.0980578
1,93,213,,MD 355 and Edmonston Drive,Bus Rapid Transit,Planned,24,031,700904,24031700904,1400000US24031700904,7009.04,Census Tract 7009.04,G5020,S,1132114.000000000000000,1173.000000000000000,+39.0656133,-077.1290436
1,94,189,,MD 355 and Mannakee Street/Montgomery College - Rockville Campus,Bus Rapid Transit,Planned,24,031,700901,24031700901,1400000US24031700901,7009.01,Census Tract 7009.01,G5020,S,1695987.000000000000000,0.000000000000000,+39.0865869,-077.1522375
1,95,1029,,MD 355 and King Farm Boulevard,Bus Rapid Transit,Planned,24,031,700718,24031700718,1400000US24031700718,7007.18,Census Tract 7007.18,G5020,S,2607800.000000000000000,4305.000000000000000,+39.1146622,-077.1823146
1,96,1029,,MD 355 and Shady Grove Road,Bus Rapid Transit,Planned,24,031,700718,24031700718,1400000US24031700718,7007.18,Census Tract 7007.18,G5020,S,2607800.000000000000000,4305.000000000000000,+39.1146622,-077.1823146
1,97,152,,MD 355 and MD 124,Bus Rapid Transit,Planned,24,031,700713,24031700713,1400000US24031700713,7007.13,Census Tract 7007.13,G5020,S,1393024.000000000000000,133390.000000000000000,+39.1570998,-077.2011707
1,98,817,,MD 355 and Middlebrook Road,Bus Rapid Transit,Planned,24,031,700834,24031700834,1400000US24031700834,7008.34,Census Tract 7008.34,G5020,S,1416858.000000000000000,3805.000000000000000,+39.1886162,-077.2317358
1,99,191,,MD 355 and MD 118,Bus Rapid Transit,Planned,24,031,700835,24031700835,1400000US24031700835,7008.35,Census Tract 7008.35,G5020,S,5635201.000000000000000,47650.000000000000000,+39.1980942,-077.2273849
1,100,191,,MD 355 and Shakespeare Boulevard,Bus Rapid Transit,Planned,24,031,700835,24031700835,1400000US24031700835,7008.35,Census Tract 7008.35,G5020,S,5635201.000000000000000,47650.000000000000000,+39.1980942,-077.2273849
1,101,216,,MD 355 and Gude Drive,Bus Rapid Transit,Planned,24,031,701004,24031701004,1400000US24031701004,7010.04,Census Tract 7010.04,G5020,S,3069810.000000000000000,6703.000000000000000,+39.0986188,-077.1659654
1,102,152,,MD 355 and Odendhal Avenue,Bus Rapid Transit,Planned,24,031,700713,24031700713,1400000US24031700713,7007.13,Census Tract 7007.13,G5020,S,1393024.000000000000000,133390.000000000000000,+39.1570998,-077.2011707
1,103,1033,,MD 355 and Brookes Avenue,Bus Rapid Transit,Planned,24,031,700723,24031700723,1400000US24031700723,7007.23,Census Tract 7007.23,G5020,S,1786148.000000000000000,12854.000000000000000,+39.1471102,-077.2025986
1,104,516,,MD 97 and Cameron Street,Bus Rapid Transit,Planned,24,031,702503,24031702503,1400000US24031702503,7025.03,Census Tract 7025.03,G5020,S,408458.000000000000000,0.000000000000000,+38.9971020,-077.0281693
1,106,194,,MD 586 and MD 185,Bus Rapid Transit,Planned,24,031,703401,24031703401,1400000US24031703401,7034.01,Census Tract 7034.01,G5020,S,1780785.000000000000000,0.000000000000000,+39.0616110,-077.0797750
1,107,1430,,Rock Spring Drive and MD 187,Bus Rapid Transit,Planned,24,031,701205,24031701205,1400000US24031701205,7012.05,Census Tract 7012.05,G5020,S,6829971.000000000000000,16126.000000000000000,+39.0418495,-077.1354132
1,108,1448,,MD 355 and Cedar Lane,Bus Rapid Transit,Planned,24,031,705000,24031705000,1400000US24031705000,7050,Census Tract 7050,G5020,S,4558192.000000000000000,11079.000000000000000,+38.9984654,-077.0906078
1,109,525,,MD 355 and Education Boulevard,Bus Rapid Transit,Planned,24,031,700731,24031700731,1400000US24031700731,7007.31,Census Tract 7007.31,G5020,S,1325817.000000000000000,7868.000000000000000,+39.1334282,-077.1966015
1,115,529,,Dorsey Mill,Bus Rapid Transit,Planned,24,031,700313,24031700313,1400000US24031700313,7003.13,Census Tract 7003.13,G5020,S,2797073.000000000000000,1070.000000000000000,+39.1946701,-077.2570537
1,117,1456,,MD 650 and Valleybrook Drive,Bus Rapid Transit,Planned,24,031,701503,24031701503,1400000US24031701503,7015.03,Census Tract 7015.03,G5020,S,4487400.000000000000000,15457.000000000000000,+39.0601655,-076.9902806
1,118,1456,,MD 650 and Randolph Road,Bus Rapid Transit,Planned,24,031,701503,24031701503,1400000US24031701503,7015.03,Census Tract 7015.03,G5020,S,4487400.000000000000000,15457.000000000000000,+39.0601655,-076.9902806
1,119,155,,Colesville Park-and-Ride,Bus Rapid Transit,Planned,24,031,701415,24031701415,1400000US24031701415,7014.15,Census Tract 7014.15,G5020,S,7115743.000000000000000,15071.000000000000000,+39.0843083,-076.9894825
