dir_name,RouteNum,Status,TRACTCE,Geography,SquareMile,STATION_NA,MODE_,STATUS,STOPLAT,STOPLON
inboun,MD355 Central BRT,Design,700309,1400000US24031700309,0.89981475915,Cloverleaf,Bus Rapid Transit,Planned,39.1881087,-77.2703189
inboun,MD355 Central BRT,Design,700309,1400000US24031700309,0.89981475915,Germantown Bus Transit Center,Bus Rapid Transit,Planned,39.1881087,-77.2703189
inboun,MD355 Central BRT,Design,700713,1400000US24031700713,0.589348438273,MD 355 and MD 124,Bus Rapid Transit,Planned,39.1570998,-77.2011707
inboun,MD355 Central BRT,Design,700713,1400000US24031700713,0.589348438273,MD 355 and Odendhal Avenue,Bus Rapid Transit,Planned,39.1570998,-77.2011707
inboun,MD355 Central BRT,Design,700901,1400000US24031700901,0.654820216764,Rockville Metro Station,Bus Rapid Transit,Planned,39.0865869,-77.1522375
inboun,MD355 Central BRT,Design,700901,1400000US24031700901,0.654820216764,MD 355 and Mannakee Street/Montgomery College - Rockville Campus,Bus Rapid Transit,Planned,39.0865869,-77.1522375
inboun,MD355 Central BRT,Design,701004,1400000US24031701004,1.18784491022,MD 355 and Gude Drive,Bus Rapid Transit,Planned,39.0986188,-77.1659654
inboun,MD355 Central BRT,Design,700830,1400000US24031700830,0.687270983017,Montgomery College Germantown Campus,Bus Rapid Transit,Planned,39.1851226,-77.2448532
inboun,MD355 Central BRT,Design,700830,1400000US24031700830,0.687270983017,Holy Cross Hospital/Pinkney Life Science Park,Bus Rapid Transit,Planned,39.1851226,-77.2448532
inboun,MD355 Central BRT,Design,700833,1400000US24031700833,0.91251462542,NA,NA,NA,NA,NA
inboun,MD355 Central BRT,Design,700732,1400000US24031700732,0.594714993539,NA,NA,NA,NA,NA
inboun,MD355 Central BRT,Design,700733,1400000US24031700733,1.0256762927,MD 355 and Watkins Mill Road,Bus Rapid Transit,Planned,39.1602123,-77.2187548
inboun,MD355 Central BRT,Design,700733,1400000US24031700733,1.0256762927,MD 355 and Professional Drive,Bus Rapid Transit,Planned,39.1602123,-77.2187548
inboun,MD355 Central BRT,Design,700728,1400000US24031700728,0.824191816834,Shady Grove Transit Center,Bus Rapid Transit,Planned,39.1271568,-77.1761624
inboun,MD355 Central BRT,Design,700731,1400000US24031700731,0.514936109301,MD 355 and Education Boulevard,Bus Rapid Transit,Planned,39.1334282,-77.1966015
inboun,MD355 Central BRT,Design,700313,1400000US24031700313,1.08036700547,Seneca Meadows,Bus Rapid Transit,Planned,39.1946701,-77.2570537
inboun,MD355 Central BRT,Design,700313,1400000US24031700313,1.08036700547,Seneca Meadows Corporate Park,Bus Rapid Transit,Planned,39.1946701,-77.2570537
inboun,MD355 Central BRT,Design,700313,1400000US24031700313,1.08036700547,MD 355 and Ridge Road,Bus Rapid Transit,Planned,39.1946701,-77.2570537
inboun,MD355 Central BRT,Design,700313,1400000US24031700313,1.08036700547,The Shops at Seneca Meadows,Bus Rapid Transit,Planned,39.1946701,-77.2570537
inboun,MD355 Central BRT,Design,700313,1400000US24031700313,1.08036700547,Dorsey Mill,Bus Rapid Transit,Planned,39.1946701,-77.2570537
inboun,MD355 Central BRT,Design,700727,1400000US24031700727,0.291814815451,NA,NA,NA,NA,NA
inboun,MD355 Central BRT,Design,700834,1400000US24031700834,0.548517842993,MD 355 and Middlebrook Road,Bus Rapid Transit,Planned,39.1886162,-77.2317358
inboun,MD355 Central BRT,Design,700718,1400000US24031700718,1.00853668473,East Gaither,Bus Rapid Transit,Planned,39.1146622,-77.1823146
inboun,MD355 Central BRT,Design,700718,1400000US24031700718,1.00853668473,West Gaither,Bus Rapid Transit,Planned,39.1146622,-77.1823146
inboun,MD355 Central BRT,Design,700718,1400000US24031700718,1.00853668473,MD 355 and King Farm Boulevard,Bus Rapid Transit,Planned,39.1146622,-77.1823146
inboun,MD355 Central BRT,Design,700718,1400000US24031700718,1.00853668473,MD 355 and Shady Grove Road,Bus Rapid Transit,Planned,39.1146622,-77.1823146
inboun,MD355 Central BRT,Design,700723,1400000US24031700723,0.694597429606,MD 355 and Brookes Avenue,Bus Rapid Transit,Planned,39.1471102,-77.2025986
outbou,MD355 Central BRT,Design,700818,1400000US24031700818,0.865589609496,NA,NA,NA,NA,NA
outbou,MD355 Central BRT,Design,700832,1400000US24031700832,0.531005834367,NA,NA,NA,NA,NA
outbou,MD355 Central BRT,Design,700724,1400000US24031700724,0.317855194648,NA,NA,NA,NA,NA
inboun,Univ. Blvd BRT,BRT Network,702000,1400000US24031702000,0.378631143284,NA,NA,NA,NA,NA
inboun,Univ. Blvd BRT,BRT Network,702200,1400000US24031702200,0.638393024128,MD 193 and E Franklin Avenue,Bus Rapid Transit,Planned,39.0093138,-77.0065074
inboun,Univ. Blvd BRT,BRT Network,703000,1400000US24031703000,0.419991078178,NA,NA,NA,NA,NA
inboun,Univ. Blvd BRT,BRT Network,703100,1400000US24031703100,0.69944646206,MD 193 and US 29,Bus Rapid Transit,Existing,39.0264084,-77.0220358
inboun,Univ. Blvd BRT,BRT Network,703100,1400000US24031703100,0.69944646206,US 29 and MD 193,Bus Rapid Transit,Existing,39.0264084,-77.0220358
inboun,Univ. Blvd BRT,BRT Network,703100,1400000US24031703100,0.69944646206,MD 193 and Dennis Avenue,Bus Rapid Transit,Planned,39.0264084,-77.0220358
inboun,Univ. Blvd BRT,BRT Network,703100,1400000US24031703100,0.69944646206,MD 193 and Arcola Avenue,Bus Rapid Transit,Planned,39.0264084,-77.0220358
inboun,Univ. Blvd BRT,BRT Network,703800,1400000US24031703800,0.469197783959,Wheaton Transit Center,Bus Rapid Transit,Planned,39.03606,-77.054713
inboun,Univ. Blvd BRT,BRT Network,703800,1400000US24031703800,0.469197783959,MD 586 and MD 193,Bus Rapid Transit,Planned,39.03606,-77.054713
inboun,Univ. Blvd BRT,BRT Network,703800,1400000US24031703800,0.469197783959,MD 193 and Amherst Avenue,Bus Rapid Transit,Planned,39.03606,-77.054713
inboun,Univ. Blvd BRT,BRT Network,703902,1400000US24031703902,0.839456725789,MD 193 and Inwood Avenue,Bus Rapid Transit,Planned,39.0322535,-77.0397148
inboun,Univ. Blvd BRT,BRT Network,701703,1400000US24031701703,0.425825049934,NA,NA,NA,NA,NA
outbou,Univ. Blvd BRT,BRT Network,702102,1400000US24031702102,0.639678276664,NA,NA,NA,NA,NA
outbou,Univ. Blvd BRT,BRT Network,702101,1400000US24031702101,0.641242476792,NA,NA,NA,NA,NA
outbou,Univ. Blvd BRT,BRT Network,703208,1400000US24031703208,1.41944347934,NA,NA,NA,NA,NA
outbou,Univ. Blvd BRT,BRT Network,703209,1400000US24031703209,0.689896678221,NA,NA,NA,NA,NA
outbou,Univ. Blvd BRT,BRT Network,703210,1400000US24031703210,0.601091687607,NA,NA,NA,NA,NA
inboun,US29 BRT - Howard County,Design,701408,1400000US24031701408,10.1402558806,NA,NA,NA,NA,NA
inboun,US29 BRT - Howard County,Design,701506,1400000US24031701506,2.3422497873,US 29 and Hillwood Drive,Bus Rapid Transit,Existing,39.0548604,-77.0050149
inboun,US29 BRT - Howard County,Design,701414,1400000US24031701414,2.22784721939,US 29 and Tech Road,Bus Rapid Transit,Existing,39.0726448,-76.9660918
inboun,US29 BRT - Howard County,Design,701414,1400000US24031701414,2.22784721939,US 29 and Fairland Road,Bus Rapid Transit,NA,39.0726448,-76.9660918
inboun,US29 BRT - Howard County,Design,702200,1400000US24031702200,0.638393024128,MD 193 and E Franklin Avenue,Bus Rapid Transit,Planned,39.0093138,-77.0065074
inboun,US29 BRT - Howard County,Design,702302,1400000US24031702302,0.598382975146,US 29 and Franklin Avenue,Bus Rapid Transit,NA,39.0094941,-77.0189819
inboun,US29 BRT - Howard County,Design,702900,1400000US24031702900,0.990371702527,NA,NA,NA,NA,NA
inboun,US29 BRT - Howard County,Design,703000,1400000US24031703000,0.419991078178,NA,NA,NA,NA,NA
inboun,US29 BRT - Howard County,Design,703100,1400000US24031703100,0.69944646206,MD 193 and US 29,Bus Rapid Transit,Existing,39.0264084,-77.0220358
inboun,US29 BRT - Howard County,Design,703100,1400000US24031703100,0.69944646206,US 29 and MD 193,Bus Rapid Transit,Existing,39.0264084,-77.0220358
inboun,US29 BRT - Howard County,Design,703100,1400000US24031703100,0.69944646206,MD 193 and Dennis Avenue,Bus Rapid Transit,Planned,39.0264084,-77.0220358
inboun,US29 BRT - Howard County,Design,703100,1400000US24031703100,0.69944646206,MD 193 and Arcola Avenue,Bus Rapid Transit,Planned,39.0264084,-77.0220358
inboun,US29 BRT - Howard County,Design,703210,1400000US24031703210,0.601091687607,NA,NA,NA,NA,NA
inboun,US29 BRT - Howard County,Design,702501,1400000US24031702501,0.128659467514,MD 97 and Eastern Avenue/Burlington Avenue/Montgomery College - Silver Spring/Takoma Park Campus,Bus Rapid Transit,Planned,38.9908535,-77.02863
inboun,US29 BRT - Howard County,Design,702503,1400000US24031702503,0.157705967941,US 29 and Fenton Street,Bus Rapid Transit,Existing,38.997102,-77.0281693
inboun,US29 BRT - Howard County,Design,702503,1400000US24031702503,0.157705967941,MD 97 and Cameron Street,Bus Rapid Transit,Planned,38.997102,-77.0281693
inboun,US29 BRT - Howard County,Design,701426,1400000US24031701426,1.89317258379,Burtonsville Park and Ride,Bus Rapid Transit,Existing,39.1131808,-76.9207785
inboun,US29 BRT - Howard County,Design,701409,1400000US24031701409,2.5779668562,NA,NA,NA,NA,NA
inboun,US29 BRT - Howard County,Design,701503,1400000US24031701503,1.73855501943,MD 650 and Jackson Road,Bus Rapid Transit,Planned,39.0601655,-76.9902806
inboun,US29 BRT - Howard County,Design,701503,1400000US24031701503,1.73855501943,MD 650 and Valleybrook Drive,Bus Rapid Transit,Planned,39.0601655,-76.9902806
inboun,US29 BRT - Howard County,Design,701503,1400000US24031701503,1.73855501943,MD 650 and Randolph Road,Bus Rapid Transit,Planned,39.0601655,-76.9902806
outbou,US29 BRT - Howard County,Design,702102,1400000US24031702102,0.639678276664,NA,NA,NA,NA,NA
outbou,US29 BRT - Howard County,Design,701425,1400000US24031701425,1.86940537674,NA,NA,NA,NA,NA
outbou,US29 BRT - Howard County,Design,701424,1400000US24031701424,0.85204152369,NA,NA,NA,NA,NA
