TRACTCE,GEOID,Geography,NAME,route_name,DESCRIPTIO,RT_D,ROUTE,DIRECTION,ORIGIN,DESTINATIO,STATE,GEOMETRYSO,OBJECTID,SHAPE_ID,SHAPELEN,route_id,route_short_name,route_long_name,route_desc,route_color,route_text_color,route_type_text,wkday_departures,sat_departures,sun_departures,agency,wkday_riders,sat_riders,sun_riders,SquareMile
701425,24031701425,1400000US24031701425,7014.25,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,1.86940537674
703701,24031703701,1400000US24031703701,7037.01,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,0.459841760183
701219,24031701219,1400000US24031701219,7012.19,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,0.869697691944
701508,24031701508,1400000US24031701508,7015.08,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,0.353486892387
701509,24031701509,1400000US24031701509,7015.09,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,1.5772360808
701216,24031701216,1400000US24031701216,7012.16,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,0.52466257142
701201,24031701201,1400000US24031701201,7012.01,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,0.986452384912
701202,24031701202,1400000US24031701202,7012.02,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,0.690919108727
701503,24031701503,1400000US24031701503,7015.03,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,1.73855501943
701505,24031701505,1400000US24031701505,7015.05,M42,[M42]N BETHESDA - COLLEGE PK,M42_E,M42,E,Marinelli Rd+Rockville Pk,College Park+Bay B,MD,GTFS SHAPE TXT,36092,M42:07,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,1.29061230164
701507,24031701507,1400000US24031701507,7015.07,M42,[M42]COLLEGE PK - N BETHESDA,M42_W,M42,W,College Park+Bay B,Marinelli Rd+Rockville Pk,MD,GTFS SHAPE TXT,36095,M42:54,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,2.14390131931
701415,24031701415,1400000US24031701415,7014.15,M42,[M42]COLLEGE PK - N BETHESDA,M42_W,M42,W,College Park+Bay B,Marinelli Rd+Rockville Pk,MD,GTFS SHAPE TXT,36095,M42:54,0,NA,NA,NA,NA,NA,NA,NA,75,36,34,WMATA,2561,1205,760,2.75321128147
701425,24031701425,1400000US24031701425,7014.25,M44,[M44]PLUM ORCHARD - HYATTSVL XING,M44_E,M44,E,Plum Orchard Dr+MDOT-SHA,Hyattsville Crossing+Bay B,MD,GTFS SHAPE TXT,36097,M44:07,0,NA,NA,NA,NA,NA,NA,NA,77,34,32,WMATA,3081,1397,913,1.86940537674
703404,24031703404,1400000US24031703404,7034.04,M44,[M44]N BETHESDA - HYATTSVL XING,M44_E,M44,E,Marinelli Rd+Rockville Pk,Hyattsville Crossing+Bay B,MD,GTFS SHAPE TXT,36098,M44:08,0,NA,NA,NA,NA,NA,NA,NA,77,34,32,WMATA,3081,1397,913,0.221163602767
701506,24031701506,1400000US24031701506,7015.06,M44,[M44]N BETHESDA - HYATTSVL XING,M44_E,M44,E,Marinelli Rd+Rockville Pk,Hyattsville Crossing+Bay B,MD,GTFS SHAPE TXT,36098,M44:08,0,NA,NA,NA,NA,NA,NA,NA,77,34,32,WMATA,3081,1397,913,2.3422497873
701414,24031701414,1400000US24031701414,7014.14,M44,[M44]N BETHESDA - HYATTSVL XING,M44_E,M44,E,Marinelli Rd+Rockville Pk,Hyattsville Crossing+Bay B,MD,GTFS SHAPE TXT,36098,M44:08,0,NA,NA,NA,NA,NA,NA,NA,77,34,32,WMATA,3081,1397,913,2.22784721939
703702,24031703702,1400000US24031703702,7037.02,M44,[M44]N BETHESDA - HYATTSVL XING,M44_E,M44,E,Marinelli Rd+Rockville Pk,Hyattsville Crossing+Bay B,MD,GTFS SHAPE TXT,36098,M44:08,0,NA,NA,NA,NA,NA,NA,NA,77,34,32,WMATA,3081,1397,913,0.479713342524
703501,24031703501,1400000US24031703501,7035.01,M44,[M44]N BETHESDA - HYATTSVL XING,M44_E,M44,E,Marinelli Rd+Rockville Pk,Hyattsville Crossing+Bay B,MD,GTFS SHAPE TXT,36098,M44:08,0,NA,NA,NA,NA,NA,NA,NA,77,34,32,WMATA,3081,1397,913,0.882391261754
