Geography,SquareMile,totalBuildings,totalDwellings,halfm_stop_totalBuildings,halfm_stop_totalDwellings,quarterm_stop_totalBuildings,quarterm_stop_totalDwellings,halfm_ROUTE_totalBuildings,halfm_ROUTE_totalDwellings,quarterm_ROUTE_totalBuildings,quarterm_ROUTE_totalDwellings,nobus_stop_totalBuildings,nobus_stop_totalDwellings,nobus_ROUTE_totalBuildings,nobus_ROUTE_totalDwellings,halfm_route_BRT_totalBuildings,halfm_route_BRT_totalDwellings,quarterm_route_BRT_totalBuildings,quarterm_route_BRT_totalDwellings,Building_halfm_ROUTE_no_stop,Dwell_halfm_ROUTE_no_stop,Building_quarterm_ROUTE_no_stop,Dwell_quarterm_ROUTE_no_stop,Building_quarterm_ROUTE_no_stop_at_ALL,Dwell_quarterm_ROUTE_no_stop_at_ALL,propBuilding_quarterm_stop,propDwell_quarterm_stop,propBuilding_halfm_stop,propDwell_halfm_stop,propBuilding_quarterm_ROUTE,propDwell_quarterm_ROUTE,propBuilding_halfm_ROUTE,propDwell_halfm_ROUTE,propBuilding_nobus_stop,propDwell_nobus_stop,propBuilding_nobus_ROUTE,propDwell_nobus_ROUTE,propBuilding_halfm_ROUTE_no_stop,propDwell_halfm_ROUTE_no_stop,propBuilding_quarterm_ROUTE_no_stop,propDwell_quarterm_ROUTE_no_stop,propBuilding_quarterm_ROUTE_no_stop_at_ALL,propDwell_quarterm_ROUTE_no_stop_at_ALL,propBuilding_halfm_BRT_ROUTE,propDwell_halfm_BRT_ROUTE,propBuilding_quarterm_BRT_ROUTE,propDwell_quarterm_BRT_ROUTE,totalRoutes,totalMeanWkdayRouteRiders,totalMeanSatRouteRiders,totalMeanSunRouteRiders,meanMeanWkdayRouteRiders,meanMeanSatRoudeRiders,meanMeanSunRouteRiders,totalWkdayDepartures,totalSatDepartures,totalSunDepartures,meanWkdayDepartures,medianWkdayDepartures,is_sunday,is_sat_not_sun,routes_wmata,routes_rideon,most_agency,estPopulation,estHouseholds,estPopChildren14Under,estPopElderly65Over,estHouseholds_0Vehicle,estHouseholds_MorePeopleThanVehicles,estHouseholds_LessVehiclesThanWorkers,estHouseholds_1Vehicle_2PlusPeople,estHouseholds_2Vehicle_3PlusPeople,estHouseholds_2PlusWorkers1Vehicle,estHouseholds_2PlusWorkers0Vehicles,propEstHouseholds_0Vehicle,propEstHouseholds_MorePeopleThanVehicles,propEstHouseholds_LessVehiclesThanWorkers,propEstPopChildren14Under,propEstPopElderly65Over,brt_routes,brt_stops,has_brt_route,has_brt_stop
1400000US24031700723,0.694597429606,149,2148,149,2148,149,2148,149,2148,149,2148,0,0,0,0,149,2148,129,1552,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.8657718120805369,0.7225325884543762,11,16061,9533,6551,1460,867,596,861,478,425,78,79,1,1,0,11,RideOn,4291,1900,732,1738,652,1288,375,416,98,206,0,0.3431578947368421,0.6778947368421052,0.19736842105263158,0.17058960615241203,0.4050337916569564,1,1,1,1
1400000US24031700724,0.317855194648,91,1224,91,1224,91,1224,91,1224,91,1224,0,0,0,0,88,809,36,35,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.967032967032967,0.6609477124183006,0.3956043956043956,0.028594771241830064,8,5495,2926,1986,687,366,248,443,223,168,55,40,1,1,0,8,RideOn,3640,1126,986,248,164,748,146,261,162,27,0,0.14564831261101244,0.6642984014209592,0.12966252220248667,0.27087912087912086,0.06813186813186813,1,0,1,0
1400000US24031700725,0.284415168804,252,1916,252,1916,251,1891,252,1916,251,1891,0,0,0,0,9,674,0,0,0,0,0,0,0,0,0.996031746031746,0.9869519832985386,1,1,0.996031746031746,0.9869519832985386,1,1,0,0,0,0,0,0,0,0,0,0,0.03571428571428571,0.35177453027139877,0,0,2,2483,1752,1197,1242,876,598,160,121,107,80,80,1,1,0,2,RideOn,6313,1793,2050,410,416,1158,496,268,326,73,143,0.2320133853876185,0.6458449525934189,0.2766313441160067,0.3247267543164898,0.06494535086329796,0,0,0,0
1400000US24031700726,0.249145222057,384,1076,384,1076,368,1060,384,1076,384,1076,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0.9583333333333334,0.9851301115241635,1,1,1,1,1,1,0,0,0,0,0,0,0.041666666666666664,0.01486988847583643,0,0,0,0,0,0,2,2483,1752,1197,1242,876,598,160,121,107,80,80,1,1,0,2,RideOn,3124,1400,316,426,0,751,264,466,274,115,0,0,0.5364285714285715,0.18857142857142858,0.10115236875800256,0.13636363636363635,0,0,0,0
1400000US24031700727,0.291814815451,382,644,382,644,353,615,382,644,349,611,0,0,0,0,375,637,188,450,0,0,2,2,0,0,0.9240837696335078,0.9549689440993789,1,1,0.9136125654450262,0.9487577639751553,1,1,0,0,0,0,0,0,0.005235602094240838,0.003105590062111801,0,0,0.981675392670157,0.9891304347826086,0.49214659685863876,0.6987577639751553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RideOn,2251,566,568,354,81,378,190,146,87,62,0,0.1431095406360424,0.6678445229681979,0.33568904593639576,0.25233229675699687,0.1572634384717903,1,0,1,0
1400000US24031700728,0.824191816834,402,957,402,957,332,887,402,957,335,890,0,0,0,0,385,940,227,782,0,0,7,7,0,0,0.8258706467661692,0.9268547544409613,1,1,0.8333333333333334,0.9299895506792059,1,1,0,0,0,0,0,0,0.017412935323383085,0.0073145245559038665,0,0,0.9577114427860697,0.9822361546499477,0.5646766169154229,0.8171368861024033,18,16201,9010,5869,900,501,326,1236,652,491,69,62,1,1,0,18,RideOn,2069,895,276,414,162,413,87,96,107,30,0,0.18100558659217877,0.46145251396648046,0.09720670391061452,0.1333977767037216,0.2000966650555824,1,1,1,1
1400000US24031700729,0.434133824008,639,877,639,877,639,877,639,877,639,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2201,1305,812,550,326,203,179,115,101,45,43,1,1,0,4,RideOn,2924,897,625,556,20,558,101,125,226,39,0,0.022296544035674472,0.6220735785953178,0.11259754738015608,0.2137482900136799,0.19015047879616964,0,0,0,0
1400000US24031700730,0.689817933763,1396,1860,1396,1860,1360,1824,1396,1860,1375,1839,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0.9742120343839542,0.9806451612903225,1,1,0.9849570200573066,0.9887096774193549,1,1,0,0,0,0,0,0,0.010744985673352435,0.008064516129032258,0,0,0,0,0,0,4,3169,1991,1241,792,498,310,232,164,144,58,68,1,1,0,4,RideOn,5076,1765,1039,928,39,883,135,271,451,76,0,0.02209631728045326,0.5002832861189802,0.0764872521246459,0.20468873128447596,0.18282111899133174,0,0,0,0
1400000US24031700731,0.514936109301,521,1519,521,1519,516,1514,521,1519,520,1518,0,0,0,0,425,1423,161,1159,0,0,5,5,0,0,0.9904030710172744,0.9967083607636603,1,1,0.9980806142034548,0.9993416721527321,1,1,0,0,0,0,0,0,0.009596928982725527,0.0032916392363396972,0,0,0.8157389635316699,0.9368005266622779,0.30902111324376197,0.7630019749835418,3,9268,5646,4018,3089,1882,1339,317,183,170,106,90,1,1,0,3,RideOn,4007,1488,650,321,237,843,250,364,118,126,51,0.1592741935483871,0.5665322580645161,0.16801075268817203,0.16221612178687297,0.0801098078362865,1,1,1,1
1400000US24031700732,0.594714993539,439,1092,439,1092,427,1080,439,1092,439,1092,0,0,0,0,163,364,117,307,0,0,12,12,0,0,0.9726651480637813,0.989010989010989,1,1,1,1,1,1,0,0,0,0,0,0,0.02733485193621868,0.01098901098901099,0,0,0.3712984054669704,0.3333333333333333,0.26651480637813213,0.28113553113553114,14,14182,7804,4994,1013,557,357,929,488,336,66,56,1,1,0,14,RideOn,3263,898,554,365,92,626,274,270,44,183,53,0.10244988864142539,0.6971046770601337,0.3051224944320713,0.16978240882623352,0.11186025130248238,1,0,1,0
