Geography,TRACTCE,name,SquareMile
1400000US24031700617,700617,Gaithersburg,0.435650649537
1400000US24031700617,700617,North Potomac,0.435650649537
1400000US24031700618,700618,North Potomac,1.08335856676
1400000US24031700618,700618,Rockville,1.08335856676
1400000US24031700706,700706,Germantown,1.42066968698
1400000US24031700706,700706,NIST,1.42066968698
1400000US24031700706,700706,Gaithersburg,1.42066968698
1400000US24031700710,700710,Redland,1.26454855524
1400000US24031700710,700710,Gaithersburg,1.26454855524
1400000US24031700710,700710,Upper Rock Creek,1.26454855524
1400000US24031700711,700711,Redland,1.77369636756
1400000US24031700711,700711,Washington Grove,1.77369636756
1400000US24031700711,700711,Gaithersburg,1.77369636756
1400000US24031700711,700711,Derwood,1.77369636756
1400000US24031700713,700713,Gaithersburg,0.589348438273
1400000US24031700713,700713,Montgomery Village,0.589348438273
1400000US24031700715,700715,Montgomery Village,0.914798063137
1400000US24031700715,700715,Gaithersburg,0.914798063137
1400000US24031700718,700718,Derwood,1.00853668473
1400000US24031700718,700718,Gaithersburg,1.00853668473
1400000US24031700718,700718,Rockville,1.00853668473
1400000US24031700720,700720,Gaithersburg,0.591243831062
1400000US24031700720,700720,Washington Grove,0.591243831062
1400000US24031700721,700721,Montgomery Village,0.161455960139
1400000US24031700721,700721,Gaithersburg,0.161455960139
1400000US24031700723,700723,Montgomery Village,0.694597429606
1400000US24031700723,700723,Gaithersburg,0.694597429606
1400000US24031700724,700724,Gaithersburg,0.317855194648
1400000US24031700725,700725,Gaithersburg,0.284415168804
1400000US24031700726,700726,Montgomery Village,0.249145222057
1400000US24031700726,700726,Washington Grove,0.249145222057
1400000US24031700726,700726,Gaithersburg,0.249145222057
1400000US24031700727,700727,Gaithersburg,0.291814815451
1400000US24031700728,700728,Washington Grove,0.824191816834
1400000US24031700728,700728,Gaithersburg,0.824191816834
1400000US24031700728,700728,Derwood,0.824191816834
1400000US24031700729,700729,Montgomery Village,0.434133824008
1400000US24031700729,700729,Gaithersburg,0.434133824008
1400000US24031700730,700730,Gaithersburg,0.689817933763
1400000US24031700731,700731,Gaithersburg,0.514936109301
1400000US24031700732,700732,Gaithersburg,0.594714993539
1400000US24031700733,700733,Montgomery Village,1.0256762927
1400000US24031700733,700733,Gaithersburg,1.0256762927
1400000US24031700733,700733,Germantown,1.0256762927
1400000US24031700810,700810,Germantown,1.38221519249
1400000US24031700810,700810,Montgomery Village,1.38221519249
1400000US24031700810,700810,Goshen,1.38221519249
1400000US24031700811,700811,Montgomery Village,0.586700013866
1400000US24031700812,700812,Gaithersburg,0.67724247494
1400000US24031700812,700812,Montgomery Village,0.67724247494
1400000US24031700813,700813,Montgomery Village,0.961605013876
1400000US24031700813,700813,Germantown,0.961605013876
1400000US24031700813,700813,Gaithersburg,0.961605013876
1400000US24031700815,700815,Germantown,1.05889838862
1400000US24031700818,700818,Germantown,0.865589609496
1400000US24031700819,700819,Germantown,0.861818275751
1400000US24031700819,700819,Gaithersburg,0.861818275751
1400000US24031700820,700820,Gaithersburg,0.328117209766
1400000US24031700822,700822,Gaithersburg,0.281985779195
1400000US24031700822,700822,NIST,0.281985779195
1400000US24031700823,700823,NIST,0.607540035298
1400000US24031700823,700823,Gaithersburg,0.607540035298
1400000US24031700824,700824,Darnestown,0.368291552916
1400000US24031700824,700824,Gaithersburg,0.368291552916
1400000US24031700826,700826,Gaithersburg,0.809789798722
1400000US24031700828,700828,Rockville,0.499645447537
