Join_Count,TARGET_FID,JOIN_FID,STATEFP,COUNTYFP,TRACTCE,GEOID,Geography,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,shape_id,route_id,agency_id,route_short_name,route_long,route_desc,route_type,route_url,route_colo,route_text,route_ty_1,Shape_Length,Shape_Area,wkday_departures,sat_departures,sun_departures
1,1438,241,24,031,701214,24031701214,1400000US24031701214,7012.14,Census Tract 7012.14,G5020,S,1256936,0,39.0295353,-77.0984854,0.081080138045114,37296,8914,MCRO,96,96-Grosvenor-Rock Spring-Montg Mall,Rte 96 operates Monday-Friday,3,NA,DCB8B8,FFFFFF,Bus,0.056431139267432,1.30754920537e-4,34,NA,NA
1,1439,55,24,031,701215,24031701215,1400000US24031701215,7012.15,Census Tract 7012.15,G5020,S,762122,8551,39.0295371,-77.116226,0.254025639864379,37078,8852,MCRO,26,26-Montgomery Mall-Glenmont,Rte 26 operates Monday-Sunday,3,NA,0000FF,FFFFFF,Bus,0.059399077503555,8.0169439832e-5,94,70,70
1,1439,84,24,031,701215,24031701215,1400000US24031701215,7012.15,Census Tract 7012.15,G5020,S,762122,8551,39.0295371,-77.116226,0.191427437149246,37122,8866,MCRO,37,37-Potomac-Wheaton Metro Station,Rte 37 operates Monday-Friday,3,NA,1D9260,FFFFFF,Bus,0.059399077503555,8.0169439832e-5,25,NA,NA
1,1439,172,24,031,701215,24031701215,1400000US24031701215,7012.15,Census Tract 7012.15,G5020,S,762122,8551,39.0295371,-77.116226,0.075832004589034,37212,8890,MCRO,6,6-Parkside-Grosvenor-Mont. Mall,Rte 6 operates Monday-Friday,3,NA,00FFFF,FFFFFF,Bus,0.059399077503555,8.0169439832e-5,40,NA,NA
1,1439,192,24,031,701215,24031701215,1400000US24031701215,7012.15,Census Tract 7012.15,G5020,S,762122,8551,39.0295371,-77.116226,0.333545643065808,37235,8899,MCRO,70,70-Germantown-Bethesda EXPRESS,Rte 70 operates Monday-Friday,3,NA,800080,FFFFFF,Bus,0.059399077503555,8.0169439832e-5,44,NA,NA
1,1439,241,24,031,701215,24031701215,1400000US24031701215,7012.15,Census Tract 7012.15,G5020,S,762122,8551,39.0295371,-77.116226,0.081080138045114,37296,8914,MCRO,96,96-Grosvenor-Rock Spring-Montg Mall,Rte 96 operates Monday-Friday,3,NA,DCB8B8,FFFFFF,Bus,0.059399077503555,8.0169439832e-5,34,NA,NA
1,1440,134,24,031,701304,24031701304,1400000US24031701304,7013.04,Census Tract 7013.04,G5020,S,7338319,13790,39.169024,-77.0758148,0.216423287676774,37172,8882,MCRO,52,52-Olney-MedStar Mont.Med-Rockv.,Rte 52 operates Monday-Friday,3,NA,8080C0,FFFFFF,Bus,0.124349485307883,7.66340531908e-4,18,NA,NA
1,1440,139,24,031,701304,24031701304,1400000US24031701304,7013.04,Census Tract 7013.04,G5020,S,7338319,13790,39.169024,-77.0758148,0.366908862859312,37178,8883,MCRO,53,53-Shady Grove-Glenmont,Rte 53 operates Monday-Friday,3,NA,FFFF80,FFFFFF,Bus,0.124349485307883,7.66340531908e-4,26,NA,NA
1,1441,134,24,031,701312,24031701312,1400000US24031701312,7013.12,Census Tract 7013.12,G5020,S,4054064,0,39.1527986,-77.0801289,0.216423287676774,37172,8882,MCRO,52,52-Olney-MedStar Mont.Med-Rockv.,Rte 52 operates Monday-Friday,3,NA,8080C0,FFFFFF,Bus,0.087846736051545,4.22456151471e-4,18,NA,NA
1,1441,139,24,031,701312,24031701312,1400000US24031701312,7013.12,Census Tract 7013.12,G5020,S,4054064,0,39.1527986,-77.0801289,0.366908862859312,37178,8883,MCRO,53,53-Shady Grove-Glenmont,Rte 53 operates Monday-Friday,3,NA,FFFF80,FFFFFF,Bus,0.087846736051545,4.22456151471e-4,26,NA,NA
